시군구,번지,지목,용도지역,도로조건,계약년월,계약일,계약면적(㎡),거래금액(만원),지분구분,a,실거래가
울산광역시 울주군,산1*,임야,제1종일반주거지역,-,201811,1,416.0,17640,지분,17,7338240.0
울산광역시 중구 ,9**,대,제2종일반주거지역,8m미만,201811,1,1363.0,175152, ,12,238732176.0
울산광역시 중구 ,7**,임야,제2종일반주거지역,-,201811,1,116.0,19960, ,12,2315360.0
울산광역시 울주군,산2*,임야,제1종일반주거지역,-,201811,1,46.0,2058,지분,17,94668.0
울산광역시 중구 ,9**,대,제2종일반주거지역,-,201811,1,19.0,2442, ,12,46398.0
울산광역시 중구 ,7**,임야,제2종일반주거지역,-,201811,1,159.0,20432, ,12,3248688.0
울산광역시 중구 ,7**,대,제2종일반주거지역,8m미만,201811,1,160.0,20561, ,12,3289760.0
울산광역시 중구 ,7**,임야,제2종일반주거지역,8m미만,201811,1,960.0,210000, ,12,201600000.0
울산광역시 중구 ,7**,대,제2종일반주거지역,8m미만,201811,1,185.0,23773, ,12,4398005.0
울산광역시 중구 ,7**,임야,제2종일반주거지역,-,201811,1,185.0,23773, ,12,4398005.0
울산광역시 중구 ,9**,대,제2종일반주거지역,-,201811,1,901.0,230800, ,12,207950800.0
울산광역시 중구 ,9**,임야,제2종일반주거지역,8m미만,201811,1,150.75,25000,지분,12,3768750.0
울산광역시 중구 ,9**,임야,제2종일반주거지역,8m미만,201811,1,150.75,27600,지분,12,4160700.0
울산광역시 중구 ,7**,대,제2종일반주거지역,-,201811,1,220.0,28271, ,12,6219620.0
울산광역시 중구 ,9**,전,제2종일반주거지역,8m미만,201811,1,244.0,28785, ,12,7023540.0
울산광역시 중구 ,7**,대,제2종일반주거지역,8m미만,201811,1,246.0,31612, ,12,7776552.0
울산광역시 중구 ,9**,전,제2종일반주거지역,8m미만,201811,1,12.0,4400, ,12,52800.0
울산광역시 중구 ,7**,대,제2종일반주거지역,8m미만,201811,1,28.0,4890, ,12,136920.0
울산광역시 중구 ,7**,대,제2종일반주거지역,8m미만,201811,1,319.0,40993, ,12,13076767.0
울산광역시 중구 ,9**,임야,제2종일반주거지역,8m미만,201811,1,301.5,45500,지분,12,13718250.0
울산광역시 중구 ,7**,임야,제2종일반주거지역,8m미만,201811,1,417.0,53586, ,12,22345362.0
울산광역시 중구 ,9**,대,제2종일반주거지역,8m미만,201811,1,426.0,54743, ,12,23320518.0
울산광역시 중구 ,7**,임야,제2종일반주거지역,-,201811,1,446.0,57313, ,12,25561598.0
